,names,relese_date,run_time,rating_tag,rating
0,1 Breaking Bad,2008–2013,62 eps,TV-MA,9.5
1,2 Planet Earth II,2016,6 eps,TV-G,9.5
2,3 Planet Earth,2006,11 eps,TV-PG,9.4
3,4 Band of Brothers,2001,10 eps,TV-MA,9.4
4,5 Chernobyl,2019,5 eps,TV-MA,9.3
5,6 The Wire,2002–2008,60 eps,TV-MA,9.3
6,7 Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
7,8 Blue Planet II,2017,7 eps,TV-G,9.3
8,9 The Sopranos,1999–2007,86 eps,TV-MA,9.2
9,10 Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.2
10,11 Cosmos,1980,13 eps,TV-PG,9.3
11,12 Our Planet,2019–2023,12 eps,TV-PG,9.3
12,13 Game of Thrones,2011–2019,74 eps,TV-MA,9.2
13,14 The World at War,1973–1974,26 eps,TV-PG,9.2
14,15 Bluey,2018–,194 eps,TV-Y,9.4
15,16 Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
16,17 Rick and Morty,2013–,74 eps,TV-MA,9.1
17,18 Life,2009,11 eps,TV-G,9.1
18,19 The Last Dance,2020,10 eps,TV-MA,9.1
19,20 The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
20,21 The Vietnam War,2017,10 eps,TV-MA,9.1
21,22 Sherlock,2010–2017,15 eps,TV-14,9.1
22,23 Attack on Titan,2013–2023,98 eps,TV-MA,9.1
23,24 Batman: The Animated Series,1992–1995,85 eps,TV-PG,9.0
24,25 The Office,2005–2013,188 eps,TV-14,9.0
25,1 Breaking Bad,2008–2013,62 eps,TV-MA,9.5
26,2 Planet Earth II,2016,6 eps,TV-G,9.5
27,3 Planet Earth,2006,11 eps,TV-PG,9.4
28,4 Band of Brothers,2001,10 eps,TV-MA,9.4
29,5 Chernobyl,2019,5 eps,TV-MA,9.3
30,6 The Wire,2002–2008,60 eps,TV-MA,9.3
31,7 Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
32,8 Blue Planet II,2017,7 eps,TV-G,9.3
33,9 The Sopranos,1999–2007,86 eps,TV-MA,9.2
34,10 Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.2
35,11 Cosmos,1980,13 eps,TV-PG,9.3
36,12 Our Planet,2019–2023,12 eps,TV-PG,9.3
37,13 Game of Thrones,2011–2019,74 eps,TV-MA,9.2
38,14 The World at War,1973–1974,26 eps,TV-PG,9.2
39,15 Bluey,2018–,194 eps,TV-Y,9.4
40,16 Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
41,17 Rick and Morty,2013–,74 eps,TV-MA,9.1
42,18 Life,2009,11 eps,TV-G,9.1
43,19 The Last Dance,2020,10 eps,TV-MA,9.1
44,20 The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
45,21 The Vietnam War,2017,10 eps,TV-MA,9.1
46,22 Sherlock,2010–2017,15 eps,TV-14,9.1
47,23 Attack on Titan,2013–2023,98 eps,TV-MA,9.1
48,24 Batman: The Animated Series,1992–1995,85 eps,TV-PG,9.0
49,25 The Office,2005–2013,188 eps,TV-14,9.0
50,1 Breaking Bad,2008–2013,62 eps,TV-MA,9.5
51,2 Planet Earth II,2016,6 eps,TV-G,9.5
52,3 Planet Earth,2006,11 eps,TV-PG,9.4
53,4 Band of Brothers,2001,10 eps,TV-MA,9.4
54,5 Chernobyl,2019,5 eps,TV-MA,9.3
55,6 The Wire,2002–2008,60 eps,TV-MA,9.3
56,7 Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
57,8 Blue Planet II,2017,7 eps,TV-G,9.3
58,9 The Sopranos,1999–2007,86 eps,TV-MA,9.2
59,10 Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.2
60,11 Cosmos,1980,13 eps,TV-PG,9.3
61,12 Our Planet,2019–2023,12 eps,TV-PG,9.3
62,13 Game of Thrones,2011–2019,74 eps,TV-MA,9.2
63,14 The World at War,1973–1974,26 eps,TV-PG,9.2
64,15 Bluey,2018–,194 eps,TV-Y,9.4
65,16 Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
66,17 Rick and Morty,2013–,74 eps,TV-MA,9.1
67,18 Life,2009,11 eps,TV-G,9.1
68,19 The Last Dance,2020,10 eps,TV-MA,9.1
69,20 The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
70,21 The Vietnam War,2017,10 eps,TV-MA,9.1
71,22 Sherlock,2010–2017,15 eps,TV-14,9.1
72,23 Attack on Titan,2013–2023,98 eps,TV-MA,9.1
